ADAK IS.             AK US 184.35 142.88    4 ADK 0
ASHEVILLE            NC US 278.45 126.43  662 AVL 0
CAPE HATTERAS        NC US 285.45 126.27    3 HAT 0
CHARLOTTE            NC US 280.07 126.22  235 CLT 0
CHERRY PT. MCAS      NC US 284.12 125.85   13 NKT 0
ELIZABETH CITY       NC US 284.82 127.27    4 ECG 0
FAYETTEVILLE         NC US 282.12 126.00   57 FAY 0
GREENSBORO           NC US 281.05 127.08  270 GSO 0
HICKORY              NC US 279.62 126.75  362 HKY 0
JACKSONVILLE MCAS    NC US 283.57 125.70    7 NCA 0
NEW BERN             NC US 283.95 126.08    6 EWN 0
POPE AFB             NC US 281.98 126.17   66 POB 0
RALEIGH              NC US 282.22 126.87  135 RDU 1
SEY.JOHNSON AFB      NC US 283.03 126.33   33 GSB 0
STUMPY POINT         NC US 285.10 126.67    3 2DP 0
WILMINGTON           NC US 283.08 125.27   12 ILM 0
WINSTON-SALEM        NC US 280.77 127.13  298 INT 0
BISMARCK             ND US 260.25 137.77  506 BIS 1
DEVILS LAKE          ND US 262.13 139.10  443 P11 0
DICKINSON            ND US 258.20 137.78  790 DIK 0
FARGO                ND US 264.20 137.90  274 FAR 0
GRAND FORKS          ND US 263.82 138.95  257 GFK 0
GRAND FORKS AFB      ND US 263.60 138.95  277 RDR 0
JAMESTOWN            ND US 262.32 137.92  457 JMS 0
LIDGERWOOD           ND US 263.85 137.10  334 P67 0
MINOT                ND US 259.72 139.27  523 MOT 0
MINOT AFB            ND US 259.65 139.42  508 MIB 0
ROSEGLEN             ND US 259.17 138.75  624 P24 0
WILLISTON            ND US 257.37 139.18  581 ISN 0
BURWELL              NE US 261.87 132.77  665 BUB 0
CHADRON              NE US 257.92 133.83 1005 CDR 0
GRAND ISLAND         NE US 262.68 131.97  566 GRI 0
LINCOLN              NE US 264.25 131.85  363 LNK 0
MCCOOK               NE US 260.42 131.22  787 MCK 0
